Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA20
10/8/14,260.100006,262.880005,252.639999,259.279999,259.279999,5055100,257.2200012,250.7830002,255.9520012
10/9/14,262.25,265.540009,254.399994,257.01001,257.01001,7361300,258.3380036,251.7890015,254.7870018
10/10/14,244.639999,245.889999,235.199997,236.910004,236.910004,12888300,254.678003,250.8200013,252.6725014
10/13/14,238.570007,238.960007,221,224.589996,224.589996,11268700,247.4720032,248.7530014,251.2090012
10/14/14,228.25,232.470001,223,227.059998,227.059998,7105300,240.9700014,247.1910019,249.5250016
10/15/14,220,230.990005,217.320007,229.699997,229.699997,9147300,235.054001,246.1370011,247.9410012
10/16/14,219.720001,229.919998,219.100006,226.350006,226.350006,5399300,228.9220002,243.6300019,246.0675011
10/17/14,233.380005,234.770004,226.550003,227.479996,227.479996,10549400,227.0359986,240.8570008,244.4755006
10/20/14,226.720001,232.399994,225.509995,230.470001,230.470001,3494400,228.2119996,237.8420014,243.4975007
10/21/14,234.270004,235.389999,230.800003,235.339996,235.339996,4130300,229.8679992,235.4190003,242.7440003
10/22/14,233.190002,237.389999,230.559998,231.100006,231.100006,4116600,230.148001,232.601001,241.6920006
10/23/14,234.660004,236.279999,232,235.289993,235.289993,3492400,231.9359984,230.4289993,241.1090004
10/24/14,236.270004,237.800003,231.199997,235.240005,235.240005,3463300,233.4880002,230.2619994,240.5410004
10/27/14,234.25,234.610001,220.309998,221.669998,221.669998,9553300,231.7279996,229.9699996,239.3615005
10/28/14,229.600006,244.600006,228.25,242.770004,242.770004,10516300,233.2140012,231.5410002,239.3660011
10/29/14,241.130005,241.5,235.639999,238.100006,238.100006,4962500,234.6140012,232.3810011,239.2590011
10/30/14,238.139999,240.5,235.059998,238.660004,238.660004,3228400,235.2880034,233.6120009,238.6210014
10/31/14,242.509995,243.119995,238.75,241.699997,241.699997,3775300,236.5800018,235.034001,237.9455009
11/3/14,243,247.559998,241.320007,242.589996,242.589996,4203800,240.7640014,236.2460005,237.044001
11/4/14,240.490005,242.350006,236.529999,238.929993,238.929993,3682600,239.9959992,236.6050002,236.0120003
11/5/14,241,241.360001,230.529999,230.970001,230.970001,9045900,238.5699982,236.5919997,234.5965004
11/6/14,234.490005,246.690002,228.5,241.220001,241.220001,15354700,239.0819976,237.1850005,233.8069999
11/7/14,242.190002,242.839996,237.199997,240.199997,240.199997,5161000,238.7819976,237.6809997,233.9714996
11/10/14,239.110001,242.880005,236.800003,241.929993,241.929993,4577200,238.649997,239.7069992,234.8384994
11/11/14,242.550003,251.820007,242,251.080002,251.080002,7948800,241.0799988,240.537999,236.0394996
11/12/14,249.720001,252.339996,245.580002,249.100006,249.100006,5870800,244.7059998,241.637999,237.0095001
11/13/14,250.619995,255.75,250.25,251.699997,251.699997,6236000,246.801999,242.9419983,238.2769996
11/14/14,250,258.850006,248.5,258.679993,258.679993,6101100,250.4979982,244.6399979,239.8369995
11/17/14,257.48999,259,252.020004,253.979996,253.979996,4025700,252.9079988,245.7789979,241.0124992
11/18/14,255.860001,259.98999,255.509995,257.700012,257.700012,4473000,254.2320008,247.6559998,242.1305
11/19/14,250.610001,251.880005,245.600006,247.740005,247.740005,7918500,253.9600006,249.3330002,242.9625
11/20/14,247.949997,250.929993,246,248.710007,248.710007,3587200,253.3620026,250.0820008,243.6335007
11/21/14,252.210007,252.779999,242.169998,242.779999,242.779999,7485100,250.1820038,250.340001,244.0105004
11/24/14,245.199997,247.600006,240.639999,246.720001,246.720001,4789700,248.7300048,250.8190018,245.2630005
11/25/14,247.350006,249.720001,246.089996,248.089996,248.089996,3159800,246.8080016,250.5200012,245.5290001
11/26/14,248.339996,249,246.600006,248.440002,248.440002,1981200,246.948001,250.4540008,246.0459999
11/28/14,245.350006,246.690002,242.520004,244.520004,244.520004,2119700,246.1100004,249.7360015,246.3389999
12/1/14,241.160004,242.470001,229.009995,231.639999,231.639999,8619400,243.8820004,247.0320021,245.836
12/2/14,234.570007,234.880005,228,231.429993,231.429993,5887000,240.8239988,244.7770018,245.2779999
12/3/14,226.25,229.720001,225.5,229.300003,229.300003,5307700,237.0660002,241.9370009,244.7965004
12/4/14,228.600006,230.899994,227.809998,228.279999,228.279999,3855600,233.0339996,239.9910003,244.6620003
12/5/14,228.669998,229.389999,222.259995,223.710007,223.710007,6063600,228.8720002,237.4910003,243.7865006
12/8/14,221.539993,224.860001,212.339996,214.360001,214.360001,9225600,225.4160006,234.6490005,242.4945008
12/9/14,209.339996,217.729996,204.270004,216.889999,216.889999,9431500,222.5080018,231.6660003,241.2425011
12/10/14,214.130005,216.770004,207.699997,209.839996,209.839996,7314100,218.6160004,227.8410003,239.1805008
12/11/14,210.529999,215.429993,208.229996,208.880005,208.880005,6694400,214.7360016,223.8850006,237.1695007
12/12/14,204.820007,211.679993,204.5,207,207,7173800,211.3940002,220.1330002,234.9345009
12/15/14,209.289993,209.800003,202.669998,204.039993,204.039993,5218300,209.3299986,217.3729996,232.2025009
12/16/14,200.889999,203.679993,195.369995,197.809998,197.809998,8426100,205.5139984,214.0110001,229.394001
12/17/14,193.059998,206.649994,192.649994,205.820007,205.820007,7367800,204.7100006,211.6630005,226.8000007
12/18/14,212.380005,218.440002,211.800003,218.259995,218.259995,7483300,206.5859986,210.6610001,225.3260002
12/19/14,220.190002,220.399994,214.5,219.289993,219.289993,6910500,209.0439972,210.2189987,223.8549995
12/22/14,220,224.059998,218.259995,222.600006,222.600006,4799400,212.7559998,211.0429992,222.8459999
12/23/14,223.809998,224.320007,219.520004,220.970001,220.970001,4505700,217.3880004,211.4509994,221.5584999
12/24/14,219.770004,222.5,219.25,222.259995,222.259995,1332200,220.675998,212.6929993,220.2669998
12/26/14,221.509995,228.5,221.5,227.820007,227.820007,3327000,222.5880004,214.5869995,219.2360001
12/29/14,226.899994,227.910004,224.020004,225.710007,225.710007,2802500,223.8720032,216.4580002,218.2955002
12/30/14,223.990005,225.649994,221.399994,222.229996,222.229996,2903200,223.7980012,218.2770005,217.8250001
12/31/14,223.089996,225.679993,222.25,222.410004,222.410004,2402100,224.0860018,220.7370011,217.3740006
1/2/15,222.869995,223.25,213.259995,219.309998,219.309998,4764400,223.4960024,222.0860002,216.8745004
1/5/15,214.550003,216.5,207.160004,210.089996,210.089996,5368500,219.9500002,221.2690003,215.9650002
1/6/15,210.059998,214.199997,204.210007,211.279999,211.279999,6261900,217.0639986,220.4680009,215.3434998
1/7/15,213.350006,214.779999,209.779999,210.949997,210.949997,2968400,214.8079988,219.303,215.1729996
1/8/15,212.809998,213.800003,210.009995,210.619995,210.619995,3442500,212.449997,218.2679994,214.8594994
1/9/15,208.919998,209.979996,204.960007,206.660004,206.660004,4591300,209.9199982,216.7080003,214.7004998
1/12/15,203.050003,204.470001,199.25,202.210007,202.210007,5944200,208.3440004,214.1470003,214.3669999
1/13/15,203.320007,207.610001,200.910004,204.25,204.25,4477300,206.9380006,212.0009996,214.2294999
1/14/15,185.830002,195.199997,185,192.690002,192.690002,11551900,203.2860016,209.0470002,213.6620004
1/15/15,194.490005,195.75,190,191.869995,191.869995,5216500,199.5360016,205.9929993,213.3650002
1/16/15,190.699997,194.490005,189.649994,193.070007,193.070007,3603200,196.8180022,203.3690002,212.7275002
1/20/15,193.869995,194.119995,187.039993,191.929993,191.929993,4489400,194.7619994,201.5529999,211.4110001
1/21/15,189.550003,198.679993,189.509995,196.570007,196.570007,4153000,193.2260008,200.0820007,210.2750008
1/22/15,197,203.240005,195.199997,201.619995,201.619995,4116900,195.0119994,199.1490005,209.2260003
1/23/15,200.289993,203.5,198.330002,201.289993,201.289993,3438600,196.895999,198.2160003,208.2419999
1/26/15,201.830002,208.619995,201.050003,206.550003,206.550003,3234500,199.5919982,198.2050002,207.4565003
1/27/15,204.419998,208.029999,203.300003,205.979996,205.979996,2781000,202.4019988,198.5819991,206.3644997
1/28/15,206.110001,206.369995,198.419998,199.369995,199.369995,3149600,202.9619964,198.0939986,205.0474991
1/29/15,201.070007,205.979996,196.5,205.199997,205.199997,3548100,203.6779968,199.3449981,204.1959992
1/30/15,203.960007,207.470001,203,203.600006,203.600006,3007000,204.1399994,200.5179992,203.2554993
2/2/15,203.970001,211.949997,203.300003,210.940002,210.940002,4149200,205.0179992,202.3049987,202.8369995
2/3/15,213.220001,220.369995,211.270004,218.360001,218.360001,4812900,207.4940002,204.9479995,203.2504997
2/4/15,218.289993,221.479996,216.800003,218.550003,218.550003,3305400,211.3300018,207.1459991,203.6139999
2/5/15,219.880005,225.479996,219.639999,220.990005,220.990005,3522900,214.4880034,209.0830001,204.1160003
2/6/15,222,223.399994,216.5,217.360001,217.360001,3233200,217.2400024,210.6900009,204.4530006
2/9/15,215.380005,217.929993,211.990005,217.479996,217.479996,3472400,218.5480012,211.7830002,204.9940002
2/10/15,217.550003,220.5,215,216.289993,216.289993,5390500,218.1339996,212.8139999,205.6979995
2/11/15,212.210007,214.740005,207.279999,212.800003,212.800003,9769100,216.9839996,214.1570007,206.1254997
2/12/15,193.570007,203.089996,193.279999,202.880005,202.880005,15649600,213.3619996,213.9250015,206.6349998
2/13/15,202.899994,205.990005,200.910004,203.770004,203.770004,6191000,210.6440002,213.9420013,207.2300003
2/17/15,205.699997,205.699997,201.5,204.350006,204.350006,3979600,208.0180022,213.2830017,207.7940002
2/18/15,204.169998,206.169998,202.600006,204.460007,204.460007,2708800,205.652005,211.8930023,208.4205009
2/19/15,205,212.440002,203.75,211.710007,211.710007,5154100,205.4340058,211.2090027,209.1775009
2/20/15,210.779999,217.600006,209.809998,217.110001,217.110001,5982100,208.280005,210.8210023,209.9520012
2/23/15,215.660004,218.199997,206.330002,207.339996,207.339996,8499800,208.9940034,209.8190018,210.2545014
2/24/15,207.289993,207.289993,201.699997,204.110001,204.110001,6584900,208.9460024,208.4820023,210.1325013
2/25/15,204.940002,207.139999,202.580002,203.759995,203.759995,3909500,208.806,207.2290025,210.0215012
2/26/15,204,211.089996,202.220001,207.190002,207.190002,6472900,207.901999,206.6680024,210.4125016
2/27/15,206.899994,208.550003,202.800003,203.339996,203.339996,3882100,205.147998,206.7140015,210.3195015
3/2/15,202.699997,203.339996,195.830002,197.330002,197.330002,7922100,203.1459992,206.0700013,210.0060013
3/3/15,196.809998,200.240005,195.320007,199.559998,199.559998,4432300,202.2359986,205.5910005,209.4370011
3/4/15,199.25,202.520004,197.210007,202.440002,202.440002,4212000,201.972,205.389,208.6410012
3/5/15,202.850006,206.190002,200.149994,200.630005,200.630005,4877000,200.6600006,204.2809998,207.7450013
3/6/15,199.210007,200.75,192.149994,193.880005,193.880005,6712400,198.7680024,201.9580002,206.3895013
3/9/15,194.389999,194.490005,188.25,190.880005,190.880005,6736700,197.478003,200.3120011,205.0655015
3/10/15,188.460007,193.5,187.600006,190.320007,190.320007,5530900,195.6300048,198.9330017,203.707502
3/11/15,191.149994,196.179993,191.009995,193.740005,193.740005,4974900,193.8900054,197.9310027,202.5800026
3/12/15,193.75,194.449997,189.75,191.070007,191.070007,4149300,191.9780058,196.3190032,201.4935028
3/13/15,188.949997,191.75,187.320007,188.679993,188.679993,5434300,190.9380034,194.8530029,200.7835022
3/16/15,192,195.910004,189.800003,195.699997,195.699997,5628800,191.9020018,194.6900024,200.3800019
3/17/15,195.429993,198.710007,193.940002,194.729996,194.729996,4883200,192.7839996,194.2070022,199.8990014
3/18/15,194.960007,200.880005,193.110001,200.710007,200.710007,4756300,194.178,194.0340027,199.7115014
3/19/15,202,204.589996,194.529999,195.649994,195.649994,8475200,195.0939974,193.5360016,198.9085007
3/20/15,197.449997,198.990005,195.619995,198.080002,198.080002,4269500,196.9739992,193.9560013,197.9570008
3/23/15,198.5,200.5,197.470001,199.630005,199.630005,2620900,197.7600008,194.8310013,197.5715012
3/24/15,201.580002,203.789993,199.75,201.720001,201.720001,3649900,199.1580018,195.9710007,197.4520012
3/25/15,198.270004,198.589996,192.699997,194.300003,194.300003,5730400,197.876001,196.0270005,196.9790016
3/26/15,193.919998,194.789993,189.699997,190.410004,190.410004,4128000,196.828003,195.9610002,196.1400017
3/27/15,189.070007,189.289993,181.399994,185,185,8526900,194.2120026,195.5930009,195.2230019
3/30/15,185.850006,192.25,181.800003,190.570007,190.570007,10089500,192.400003,195.0800019,194.8850022
3/31/15,193.529999,193.759995,188.410004,188.770004,188.770004,5026600,189.8100036,194.4840027,194.3455025
4/1/15,188.699997,192.300003,186.050003,187.589996,187.589996,3786000,188.4680022,193.1720016,193.6030022
4/2/15,190.229996,193.229996,190,191,191,5010400,188.5860014,192.7070022,193.1215019
4/6/15,198,207.75,197.5,203.100006,203.100006,12455800,192.2060026,193.2090026,193.582502
4/7/15,202.509995,205.059998,201.139999,203.25,203.25,4347900,194.7420012,193.5710021,194.2010017
4/8/15,208.199997,210.899994,205.869995,207.669998,207.669998,6303100,198.522,194.1660018,195.0685013
4/9/15,208.429993,210.369995,206.119995,210.089996,210.089996,3800200,203.022,195.7450011,195.8860008
4/10/15,209.850006,211.649994,209,210.899994,210.899994,4067700,207.0019988,197.7940001,196.8775002
4/13/15,210.440002,213,209.050003,209.779999,209.779999,3758200,208.3379974,200.272,197.9325005
4/14/15,208.570007,209.490005,205.5,207.460007,207.460007,3017000,209.1799988,201.961,198.520501
4/15/15,207.460007,209.589996,206.600006,207.830002,207.830002,1952400,209.2119996,203.8669998,199.1755013
4/16/15,207.699997,209.169998,206.289993,206.699997,206.699997,1659100,208.5339998,205.7779999,199.4750008
4/17/15,204.990005,206.880005,203.5,206.789993,206.789993,2469900,207.7119996,207.3569992,200.0320007
4/20/15,206.779999,207.850006,203.850006,205.270004,205.270004,2554700,206.8100006,207.573999,200.3915008
4/21/15,205.800003,210.75,204.309998,209.410004,209.410004,3432500,207.2,208.1899994,200.8805008
4/22/15,212.5,221.880005,211.690002,219.440002,219.440002,7863000,209.522,209.3669998,201.7665008
4/23/15,218.270004,221.479996,217.149994,218.600006,218.600006,4411200,211.9020018,210.2180008,202.981501
4/24/15,220.5,220.800003,218.009995,218.429993,218.429993,2427800,214.2300018,210.9710007,204.3825004
4/27/15,222.559998,238.75,222,231.550003,231.550003,11672600,219.4860016,213.1480011,206.7100006
4/28/15,234.75,235.5,228.029999,230.479996,230.479996,6085400,223.7,215.45,208.7055
4/29/15,230.050003,234.970001,227.630005,232.449997,232.449997,3936100,226.301999,217.9119995,210.8894997
4/30/15,230.389999,232.889999,225.169998,226.050003,226.050003,3911900,227.7919984,219.8470001,212.8125
5/1/15,229.940002,231.770004,220.410004,226.029999,226.029999,5281700,229.3119996,221.7710007,214.564
5/4/15,228.179993,234.729996,227.110001,230.509995,230.509995,4434600,229.103998,224.2949998,215.9344994
